No,namaGrup,kataKunci,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,tampil,klik,persentaseKlik,terjual,totTerjual,rataRata,tampilTeratas
353,dish,Tamales,4098,233394,57,57,693,3,0.43,0,0,1366,273
354,vegetable,Hearts of Palm,19990,325684,16,16,478,5,1.05,0,0,3998,267
355,dish,Tamales,7176,388335,54,54,173,10,5.78,0,5,718,95
356,spices,Leptotes bicolor,11765,305216,26,26,347,4,1.15,0,0,2941,177
357,vegetable,Mushrooms,4800,319830,67,67,632,10,1.58,0,5,480,190
358,vegetable,Gobo,14693,311314,21,21,553,5,0.9,0,0,2939,45
359,drink,Caesar,9369,144943,15,15,357,9,2.52,0,0,1041,140
360,dish,Phaal,8528,319835,38,38,157,6,3.82,0,0,1421,180
361,dish,Greek salad,18590,192741,10,10,568,4,0.7,0,0,4648,197
362,dish,Maraca pie,1597,132714,83,83,81,9,11.11,0,5,177,72
363,fruit,Blackberry,3871,464982,120,120,407,6,1.47,0,0,645,6
364,drink,Vodka Gimlet,13081,106876,8,8,559,8,1.43,0,0,1635,43
365,dish,Naan,7876,220023,28,28,626,6,0.96,0,0,1313,38
366,spices,Basil,15220,73007,5,5,239,1,0.42,0,8,15220,96
367,dish,Chicken and waffles,18972,393054,21,21,251,8,3.19,0,0,2372,266
368,spices,Akudjura,1096,59997,55,55,526,6,1.14,0,0,183,32
369,dish,Surf and turf,411,125048,304,304,61,7,11.48,0,0,59,231
370,fruit,Cloudberry,18699,84024,4,4,39,6,15.38,0,5,3116,87
371,drink,Orange Tundra,3646,193900,53,53,419,7,1.67,0,1,521,107
372,drink,Breakfast martini,3504,233655,67,67,182,0,0.0,0,0,0,38
373,dish,Bull roast,14346,123918,9,9,644,6,0.93,0,0,2391,162
374,drink,Pulque,13406,87195,7,7,661,9,1.36,0,0,1490,288
375,fruit,Bignay,16310,228575,14,14,184,10,5.43,0,0,1631,52
376,dish,Chili con carne,7158,377758,53,53,393,7,1.78,0,0,1023,48
377,dish,Tin Roof Ice Cream,263,374120,1423,1423,240,2,0.83,0,0,132,287
378,dish,Tres Leches Cake,4640,239006,52,52,410,10,2.44,0,0,464,220
379,drink,Earthquake,5348,450311,84,84,429,7,1.63,0,0,764,274
380,drink,Kir Royal,16754,330672,20,20,102,6,5.88,0,0,2792,297
381,dish,Russian dressing,9998,285839,29,29,136,8,5.88,0,0,1250,8
382,dish,Montreal Smoked Meat,5207,139422,27,27,500,6,1.2,0,0,868,2
383,vegetable,Burdock Root,6348,245031,39,39,69,2,2.9,0,0,3174,184
384,fruit,Raspberry,15907,379162,24,24,63,5,7.94,0,10,3181,171
385,dish,Biscuit,1695,272240,161,161,7,5,71.43,0,0,339,239
386,fruit,Desert banana,12942,182091,14,14,613,6,0.98,0,0,2157,285
387,fruit,Raisin,1200,44552,37,37,529,6,1.13,0,10,200,181
388,drink,Painkiller,12422,76151,6,6,700,2,0.29,0,0,6211,195
389,drink,Bijou,9679,446200,46,46,119,7,5.88,0,0,1383,84
390,fruit,White currant,15192,150759,10,10,41,8,19.51,0,10,1899,300
391,spices,Paracress,12040,455293,38,38,219,1,0.46,0,0,12040,33
392,spices,Boldo,18183,146882,8,8,166,2,1.2,0,0,9092,71
393,drink,Canadian whisky,19997,206391,10,10,97,10,10.31,0,0,2000,81
394,dish,Hot Chicken sandwich,3329,436726,131,131,550,2,0.36,0,0,1664,90
395,dish,Wasabi Peas,12227,85481,7,7,684,1,0.15,0,0,12227,185
396,dish,Corn dog,6345,443853,70,70,260,9,3.46,0,0,705,203
397,drink,Screwdriver,10838,129240,12,12,446,2,0.45,0,8,5419,173
398,vegetable,Celery Root/Celeriac,8382,132888,16,16,23,4,17.39,0,0,2096,12
399,vegetable,Parsley,18881,445764,24,24,174,0,0.0,0,0,0,104
400,fruit,Doubah,1517,96206,63,63,276,3,1.09,0,0,506,287
401,dish,Moules Frites,1726,163006,94,94,680,3,0.44,0,0,575,91
402,drink,Gin Sour,7750,261187,34,34,678,10,1.47,0,0,775,152
403,dish,Schnitzel,17736,219626,12,12,22,1,4.55,0,0,17736,222
404,fruit,Black apple,6045,156489,26,26,340,5,1.47,0,0,1209,131
405,drink,Green Russians,2217,388939,175,175,131,5,3.82,0,0,443,290
406,drink,Rum Swizzle,8150,184764,23,23,323,6,1.86,0,0,1358,100
407,dish,Popover,16518,473262,29,29,575,5,0.87,0,10,3304,269
408,spices,Basil,13916,146432,11,11,6,2,33.33,0,0,6958,134
409,dish,Albacore Tuna Melt,17500,429377,25,25,281,1,0.36,0,6,17500,156
410,dish,Pancakes,6960,36388,5,5,641,5,0.78,0,0,1392,185
411,fruit,Hackberry,7382,178257,24,24,654,1,0.15,0,0,7382,297
412,vegetable,Green Leaf,11717,115071,10,10,618,6,0.97,0,1,1953,84
413,vegetable,Nopales,6638,410789,62,62,278,9,3.24,0,0,738,15
414,drink,Sake,2316,126654,55,55,654,2,0.31,0,0,1158,211
415,spices,Avens,3883,432075,111,111,448,8,1.79,0,0,485,202
416,spices,Cudweed,5258,387512,74,74,63,3,4.76,0,0,1753,137
417,drink,Moloko Plus,1939,454802,235,235,80,7,8.75,0,8,277,202
418,vegetable,Grape Leaves,6138,58880,10,10,312,3,0.96,0,0,2046,194
419,drink,Champagne,3366,243953,72,72,247,10,4.05,0,0,337,126
420,fruit,Durian,1516,325008,214,214,368,10,2.72,1,4,152,119
421,spices,Dorrigo,4745,438421,92,92,271,10,3.69,0,1,474,134
422,dish,Shucked Oysters,19640,133396,7,7,320,0,0.0,0,0,0,262
423,drink,Apple Martini or Appletini,19779,157041,8,8,93,1,1.08,0,0,19779,57
424,fruit,Guava,11567,30351,3,3,231,1,0.43,0,5,11567,227
425,dish,Reuben sandwich,16277,212522,13,13,426,7,1.64,0,0,2325,156
426,vegetable,Shallots,8985,408111,45,45,194,8,4.12,0,3,1123,46
427,vegetable,Pak Choy,2880,304317,106,106,366,0,0.0,0,0,0,103
428,vegetable,Swiss Chard,19389,375784,19,19,343,1,0.29,0,0,19389,1
429,fruit,Blackcurrant,15906,195301,12,12,365,10,2.74,0,0,1591,274
430,fruit,Lime,8999,216767,24,24,62,10,16.13,0,4,900,63
431,fruit,Physalis,840,244247,291,291,305,4,1.31,0,8,210,221
432,spices,Culantro,6901,54756,8,8,182,0,0.0,0,1,0,6
433,drink,U-Boot,14642,275218,19,19,700,5,0.71,0,0,2928,165
434,vegetable,Burdock Root,18536,395918,21,21,291,6,2.06,1,4,3089,225
435,vegetable,Brussels Sprouts,1544,146622,95,95,173,7,4.05,0,8,221,272
436,vegetable,Olive,13059,141861,11,11,410,4,0.98,0,0,3265,214
437,drink,Sling,8362,288056,34,34,541,2,0.37,0,0,4181,287
438,fruit,Calamondin,15075,227220,15,15,301,3,1.0,0,0,5025,132
439,dish,Bull roast,12936,64801,5,5,408,7,1.72,0,0,1848,118
440,spices,Jasmine flowers,10154,447371,44,44,493,1,0.2,0,0,10154,61
441,spices,Peppermint,17584,50074,3,3,577,0,0.0,0,0,0,59
442,vegetable,Water Chestnut,19168,407187,21,21,85,3,3.53,0,0,6389,125
443,vegetable,Escarole,6341,134489,21,21,675,0,0.0,0,0,0,164
444,dish,Crepes,2301,250696,109,109,626,6,0.96,0,0,384,84
445,spices,Clary,6317,430368,68,68,665,10,1.5,0,0,632,222
446,spices,Asarabacca,19384,203019,10,10,657,2,0.3,0,0,9692,169
447,dish,Yeung Chow fried rice,8145,261571,32,32,312,6,1.92,0,0,1358,37
448,drink,Smash,5037,164715,33,33,72,0,0.0,0,5,0,192
449,fruit,Cluster fig,7914,182400,23,23,17,10,58.82,0,0,791,165
450,spices,Paprika,10525,185592,18,18,506,0,0.0,0,2,0,204
451,fruit,Bog bilberry,4030,46093,11,11,569,5,0.88,0,0,806,81
452,dish,Flan,14925,268483,18,18,25,0,0.0,0,0,0,193
453,fruit,Black raspberry,18637,325842,17,17,76,6,7.89,0,0,3106,110
454,dish,Salted caramel cookie,5826,244861,42,42,247,2,0.81,0,0,2913,93
455,dish,Chicken nuggets,13786,80657,6,6,519,3,0.58,0,0,4595,44
456,vegetable,Shallots,18748,303185,16,16,416,4,0.96,0,0,4687,101
457,dish,Coq Au Vin,1007,425355,422,422,161,0,0.0,0,0,0,164
458,spices,Cardamom,456,76150,167,167,536,6,1.12,0,0,76,153
459,drink,Savoy Corpse Reviver,255,376981,1478,1478,41,1,2.44,0,0,255,289
460,vegetable,Squash,5118,199958,39,39,195,0,0.0,0,0,0,152
461,dish,Fried Green Tomatoes,19696,476647,24,24,570,2,0.35,0,0,9848,126
462,drink,Casino,7236,204365,28,28,514,10,1.95,0,1,724,265
463,vegetable,Ginger,13376,249752,19,19,523,10,1.91,0,0,1338,41
464,dish,Shucked Oysters,2684,116655,43,43,262,2,0.76,0,0,1342,71
465,dish,Garlic bread,9245,97469,11,11,407,2,0.49,0,0,4622,132
466,drink,Whiskey sour,5108,373674,73,73,664,2,0.3,0,0,2554,178
467,dish,Roasted Bone Marrow,12024,454139,38,38,118,9,7.63,0,2,1336,292
468,vegetable,Maize,15538,395814,25,25,143,8,5.59,0,0,1942,294
469,spices,Dorrigo,6729,422260,63,63,51,2,3.92,0,0,3364,168
470,fruit,Physalis,17773,398016,22,22,28,1,3.57,0,0,17773,153
471,dish,Alice Springs Chicken,17513,492042,28,28,369,0,0.0,0,2,0,238
472,vegetable,Arugula,17912,94385,5,5,500,4,0.8,0,0,4478,223
473,vegetable,Artichoke,9464,216392,23,23,653,8,1.23,0,0,1183,140
474,drink,Moloko Plus,8112,122684,15,15,437,0,0.0,0,7,0,10
475,spices,Akudjura,573,283165,494,494,182,10,5.49,0,3,57,218
476,spices,Sassafras,5590,166598,30,30,696,5,0.72,0,0,1118,155
477,vegetable,Peas,12994,138637,11,11,118,9,7.63,0,0,1444,262
478,dish,Polenta,3720,242433,65,65,686,7,1.02,0,9,531,271
479,vegetable,Green Beans,9740,145533,15,15,426,3,0.7,0,8,3247,135
480,dish,Alphabet pasta,6578,88614,13,13,101,0,0.0,0,0,0,237
481,fruit,Banana,1256,142699,114,114,660,10,1.52,0,0,126,208
482,fruit,Youngberry,5571,325377,58,58,411,3,0.73,0,0,1857,19
483,vegetable,Curly,10705,182477,17,17,205,1,0.49,0,0,10705,77
484,vegetable,Amaranth Leaves,4633,379672,82,82,358,4,1.12,0,0,1158,36
485,dish,Moules Frites,3619,486819,135,135,690,3,0.43,0,0,1206,227
486,vegetable,Wax Beans,19432,447565,23,23,28,6,21.43,0,0,3239,89
487,spices,Jimbu,18697,426946,23,23,14,2,14.29,0,0,9348,287
488,fruit,Guava,5436,53600,10,10,284,9,3.17,0,0,604,215
489,drink,Wolfram,7567,129783,17,17,637,1,0.16,0,0,7567,290
490,dish,Currywurst,13108,98114,7,7,268,3,1.12,0,0,4369,127
491,fruit,Kapok,18171,94608,5,5,580,6,1.03,0,0,3028,89
492,fruit,Caimito,15415,224206,15,15,531,9,1.69,0,0,1713,77
493,drink,Kaoliang,18634,313020,17,17,71,8,11.27,0,4,2329,62
494,dish,Pancakes,5436,464793,86,86,479,7,1.46,0,3,777,47
495,spices,Peppermint,14305,174932,12,12,598,5,0.84,0,0,2861,49
496,spices,Jiaogulan,19474,451258,23,23,582,3,0.52,0,0,6491,67
497,fruit,Cocona,12773,137450,11,11,187,9,4.81,0,10,1419,10
498,dish,Satay,19762,477966,24,24,277,9,3.25,0,2,2196,173
499,spices,Allspice,15832,222887,14,14,51,5,9.8,0,0,3166,147
500,vegetable,Fiddlehead,6714,149585,22,22,35,9,25.71,0,0,746,106
501,spices,Alligator pepper,5434,463580,85,85,304,9,2.96,0,0,604,183
502,dish,Shawarma,15458,270444,17,17,677,6,0.89,0,0,2576,32
503,spices,Pepper,17685,105331,6,6,232,1,0.43,0,0,17685,15
504,spices,Cinnamon,5213,63649,12,12,439,0,0.0,0,0,0,1
505,dish,Pepperoni,1801,181519,101,101,16,8,50.0,0,0,225,289
506,fruit,Hackberry,17526,152730,9,9,493,4,0.81,0,0,4382,167
507,vegetable,Bitter Melon/Bitter Gourd,16563,370152,22,22,188,8,4.26,0,0,2070,116
508,vegetable,Aubergine,14384,143112,10,10,557,4,0.72,0,0,3596,248
509,fruit,Coconut,6529,30757,5,5,175,3,1.71,0,0,2176,172
510,vegetable,Nopales,17661,372618,21,21,376,0,0.0,0,3,0,84
511,spices,Dorrigo,9049,66001,7,7,517,7,1.35,0,0,1293,55
512,dish,Sloppy joe,15456,195092,13,13,350,1,0.29,0,0,15456,52
513,dish,Potato skins,1968,310756,158,158,520,8,1.54,1,10,246,227
514,spices,Indian Bay leaf,13004,167308,13,13,69,6,8.7,0,0,2167,165
515,spices,Alkanet,5923,356182,60,60,325,10,3.08,0,8,592,123
516,fruit,Bacuri,19668,265158,13,13,429,5,1.17,0,0,3934,128
517,drink,Royce,11122,98277,9,9,480,6,1.25,0,0,1854,23
518,fruit,Redcurrant,475,403532,850,850,86,4,4.65,0,0,119,104
519,spices,Chili pepper,5242,434456,83,83,426,10,2.35,0,0,524,13
520,vegetable,Cucumber,7457,337967,45,45,695,6,0.86,0,0,1243,270
521,dish,Prawn Pizza,6685,201522,30,30,463,3,0.65,0,0,2228,199
522,vegetable,Chinese Broccoli,14906,246748,17,17,583,4,0.69,0,0,3726,15
523,drink,Paralyzer,10030,426973,43,43,541,1,0.18,0,0,10030,162
524,dish,Yeung Chow fried rice,1864,160166,86,86,326,3,0.92,0,0,621,45
525,fruit,Citron,1261,128468,102,102,559,1,0.18,0,0,1261,7
526,drink,Godmother,13281,305637,23,23,118,1,0.85,1,7,13281,105
527,spices,Pandan flower,9369,440774,47,47,628,6,0.96,0,0,1562,163
528,spices,Jiaogulan,13877,296169,21,21,7,1,14.29,0,0,13877,257
529,drink,Table wine,9727,54326,6,6,81,10,12.35,0,0,973,220
530,fruit,Cocona,5238,174234,33,33,230,4,1.74,0,7,1310,142
531,dish,Fajita,12250,378222,31,31,619,3,0.48,2,9,4083,68
532,spices,Borage,9760,262231,27,27,428,1,0.23,0,0,9760,184
533,dish,Tin Roof Ice Cream,17729,40479,2,2,352,10,2.84,0,7,1773,179
534,vegetable,Capers,15990,330014,21,21,20,4,20.0,0,3,3998,157
535,fruit,Lowbush cranberry,2087,431448,207,207,463,6,1.3,0,0,348,243
536,dish,American fried rice,3108,53303,17,17,522,3,0.57,0,0,1036,22
537,drink,Panama,19905,220616,11,11,159,3,1.89,0,0,6635,153
538,fruit,Dewberry,11883,309183,26,26,451,2,0.44,0,7,5942,19
539,dish,Buffalo Wings,15909,383248,24,24,463,3,0.65,0,8,5303,110
540,drink,Bobby Burns,14740,480269,33,33,95,3,3.16,0,0,4913,263
541,spices,Cassia,7096,457592,64,64,692,5,0.72,0,0,1419,93
542,fruit,Eugenia uniflora,2210,75290,34,34,317,10,3.15,0,0,221,215
543,fruit,Kaffir lime,9858,156710,16,16,661,4,0.61,0,0,2464,81
544,fruit,Cola nut,7554,329506,44,44,73,6,8.22,0,8,1259,28
545,dish,Chocolate cheesecake,13862,176988,13,13,451,9,2.0,0,0,1540,289
546,fruit,Jostaberry,6221,401518,65,65,15,3,20.0,0,7,2074,172
547,spices,Indian Bay leaf,14293,167077,12,12,228,0,0.0,0,0,0,124
548,fruit,Gambooge,13808,363467,26,26,615,5,0.81,0,0,2762,0
549,fruit,Beach plum,16470,269648,16,16,516,1,0.19,0,0,16470,141
550,fruit,Guava,3959,371721,94,94,129,1,0.78,0,0,3959,44
551,spices,Blue fenugreek,9495,450410,47,47,96,6,6.25,0,9,1582,15
552,spices,Lesser calamint,7668,67763,9,9,474,2,0.42,0,0,3834,128
553,drink,Canadian whisky,10166,479640,47,47,547,8,1.46,0,0,1271,265
554,dish,Osso Buco,5302,344611,65,65,400,10,2.5,0,0,530,180
555,fruit,Cranberry,4041,410586,102,102,449,0,0.0,0,9,0,175
556,fruit,Coconut,8899,242493,27,27,420,5,1.19,0,8,1780,88
557,vegetable,Spinach,187,414472,2216,2216,416,1,0.24,6,6,187,251
558,spices,Asafoetida,14590,141166,10,10,581,3,0.52,0,9,4863,134
559,fruit,Bearberry,2349,414687,177,177,458,2,0.44,0,0,1174,79
560,drink,Jungle Juice,6083,135131,22,22,576,2,0.35,0,0,3042,35
561,fruit,Lawton blackberry,19360,447400,23,23,429,9,2.1,0,0,2151,220
562,fruit,Hairless rambutan,4157,40047,10,10,145,3,2.07,0,0,1386,297
563,dish,Baba Ghanoush,2655,348256,131,131,543,3,0.55,0,0,885,207
564,vegetable,Avocado,8763,273666,31,31,169,3,1.78,0,0,2921,41
565,spices,Celery leaf,10451,152325,15,15,77,3,3.9,0,0,3484,30
566,fruit,Calabash tree,6323,125755,20,20,565,10,1.77,0,0,632,177
567,fruit,Damson plum,11045,179367,16,16,614,5,0.81,0,0,2209,181
568,dish,Cheesecake,615,253240,412,412,490,7,1.43,0,0,88,273
569,dish,Chicken herby pasta bake,4287,475138,111,111,370,6,1.62,0,0,714,219
570,fruit,Karkalla,17760,208827,12,12,17,10,58.82,1,8,1776,6
571,fruit,Huckleberry,11610,238834,21,21,500,7,1.4,0,0,1659,194
572,spices,Chili pepper,3992,144078,36,36,648,8,1.23,0,9,499,25
573,vegetable,Kohlrabi,3786,116123,31,31,445,7,1.57,0,0,541,47
574,drink,Alexander,10478,480193,46,46,135,2,1.48,0,0,5239,143
575,dish,Chicken Biryani,13662,492090,36,36,336,2,0.6,0,0,6831,17
576,drink,SakurÃ¡,14141,356301,25,25,614,3,0.49,0,0,4714,273
577,vegetable,Napa Cabbage,6249,344921,55,55,273,1,0.37,0,0,6249,67
578,spices,Juniper berry,16556,372266,22,22,253,5,1.98,0,0,3311,87
579,vegetable,Spinach,49,82315,1680,1680,629,5,0.79,0,1,10,141
580,spices,Allspice,12050,61377,5,5,661,4,0.61,0,0,3012,80
581,dish,Ribs,7664,42910,6,6,693,8,1.15,0,0,958,36
582,fruit,Sambucus,5939,207632,35,35,423,10,2.36,0,0,594,278
583,vegetable,Bok Choy,4712,305336,65,65,516,5,0.97,0,0,942,96
584,vegetable,Celery Root/Celeriac,1601,220256,138,138,40,10,25.0,0,0,160,43
585,fruit,Cocky apple,1500,186503,124,124,622,1,0.16,0,0,1500,295
586,dish,Milkshake,12599,335222,27,27,486,7,1.44,0,0,1800,139
587,fruit,Banana,11440,188320,16,16,116,8,6.9,0,0,1430,92
588,drink,Bobby Burns,12831,393231,31,31,38,4,10.53,0,2,3208,146
589,drink,Angel Face,7509,424218,56,56,1,5,500.0,0,2,1502,112
590,vegetable,Napa Cabbage,155,408630,2636,2636,283,7,2.47,0,0,22,220
591,vegetable,Capers,13589,90248,7,7,226,10,4.42,0,0,1359,201
592,vegetable,Arugula,6775,102389,15,15,381,6,1.57,0,0,1129,66
593,fruit,Lychee,11774,235598,20,20,569,10,1.76,0,0,1177,223
594,vegetable,Galangal,8819,143216,16,16,323,2,0.62,0,0,4410,30
595,dish,Laksa,12103,380787,31,31,648,10,1.54,0,0,1210,126
596,vegetable,Ginger,2407,239850,100,100,656,1,0.15,0,0,2407,135
597,spices,Peppermint,16783,121169,7,7,357,4,1.12,0,0,4196,34
598,dish,Bangers and mash,18885,349344,18,18,3,1,33.33,0,7,18885,296
599,vegetable,Water Spinach,2725,321281,118,118,442,6,1.36,0,0,454,65
600,drink,Tuxedo,12186,161511,13,13,32,9,28.12,0,0,1354,253
601,spices,Celery seed,7784,210219,27,27,115,5,4.35,0,0,1557,51
602,spices,Parsley,11852,318909,27,27,208,5,2.4,0,0,2370,116
603,spices,Curry leaf,13432,260237,19,19,164,2,1.22,0,0,6716,238
604,drink,Gunfire,22,324957,14771,14771,673,3,0.45,0,5,7,240
605,vegetable,Kale,4751,218738,46,46,252,7,2.78,0,0,679,60
606,fruit,Cocona,4364,423394,97,97,26,0,0.0,0,7,0,120
607,dish,Frybread,19206,335821,17,17,269,9,3.35,0,4,2134,123
608,drink,Hot buttered rum,2991,335967,112,112,288,0,0.0,0,0,0,270
609,dish,Risotto,5307,194464,37,37,227,0,0.0,0,0,0,216
610,dish,Bao,13675,155557,11,11,546,10,1.83,0,0,1368,272
611,vegetable,Curly,3078,330390,107,107,514,9,1.75,0,3,342,255
612,drink,Link Up,16300,487925,30,30,229,8,3.49,0,0,2038,171
613,spices,Clary,6121,404803,66,66,524,5,0.95,0,0,1224,244
614,fruit,Duku,311,382876,1231,1231,386,8,2.07,0,3,39,44
615,drink,Ouzo,16862,218068,13,13,557,1,0.18,0,0,16862,91
616,drink,Vermouth,13789,297576,22,22,548,5,0.91,0,4,2758,264
617,dish,Potatoes O'Brien,12912,407763,32,32,510,10,1.96,0,0,1291,250
618,dish,Cowboy beans,5407,266014,49,49,168,3,1.79,0,0,1802,276
619,vegetable,Lotus Root,3055,459834,151,151,137,5,3.65,0,0,611,68
620,vegetable,Celtuce,1186,356231,300,300,131,3,2.29,0,0,395,245
621,dish,Sausage gravy,16024,474611,30,30,585,0,0.0,0,0,0,87
622,drink,Sonti,2098,143942,69,69,449,10,2.23,0,0,210,250
623,spices,Basil,6855,124382,18,18,648,2,0.31,0,0,3428,169
624,fruit,Luma apiculata,9987,132395,13,13,294,10,3.4,0,2,999,131
625,fruit,Coffee,2036,271641,133,133,201,4,1.99,0,0,509,201
626,dish,Chicken à la King,14493,349667,24,24,100,6,6.0,0,0,2416,275
627,dish,Vegemite on Toast,19266,110566,6,6,499,1,0.2,0,8,19266,157
628,dish,Gazpacho,18581,489475,26,26,48,7,14.58,0,0,2654,215
629,fruit,Boquila,14550,32785,2,2,615,0,0.0,0,6,0,105
630,vegetable,Bok Choi,15965,145874,9,9,148,5,3.38,0,0,3193,208
631,drink,Pink Lady,7802,273209,35,35,358,10,2.79,0,0,780,235
632,drink,Chi-Chi,145,171416,1182,1182,485,7,1.44,0,0,21,218
633,fruit,Barbadine,7832,133330,17,17,642,7,1.09,0,0,1119,164
634,vegetable,Arugula,11899,278959,23,23,132,1,0.76,0,0,11899,47
635,dish,Salmon pasta bake,5792,156308,27,27,514,8,1.56,0,0,724,139
636,dish,Bruschetta,16304,106284,7,7,158,2,1.27,0,0,8152,73
637,spices,Annatto,16583,259232,16,16,452,7,1.55,0,0,2369,223
638,fruit,Date,1004,79281,79,79,106,9,8.49,0,0,112,100
639,fruit,Cocoplum,14177,288084,20,20,158,9,5.7,0,0,1575,236
640,fruit,Loganberry,10191,48375,5,5,331,3,0.91,0,0,3397,110
641,drink,Blue Hawaii,4836,340061,70,70,70,9,12.86,0,0,537,205
642,vegetable,Turnip Greens,8801,260018,30,30,11,7,63.64,0,0,1257,181
643,drink,Sake,2933,297863,102,102,210,4,1.9,0,4,733,16
644,fruit,Loquat,2701,194399,72,72,595,3,0.5,0,0,900,204
645,fruit,Barbadine,10442,444426,43,43,305,0,0.0,0,9,0,240
646,spices,Lesser calamint,7117,64360,9,9,665,10,1.5,0,2,712,258
647,vegetable,Wax Beans,5667,223990,40,40,0,7,0,0,0,810,136
648,vegetable,Artichoke,15753,88583,6,6,682,6,0.88,0,0,2626,176
649,dish,Vegemite on Toast,10385,230693,22,22,670,10,1.49,0,0,1038,207
650,fruit,Camu camu,3273,133175,41,41,412,4,0.97,0,0,818,26
651,vegetable,Grape Leaves,15036,256837,17,17,619,9,1.45,0,0,1671,244
652,dish,Stuffed zucchini,2184,143521,66,66,245,6,2.45,0,0,364,172
653,vegetable,Corn,10374,224800,22,22,415,1,0.24,0,6,10374,294
654,vegetable,Bok Choy,4485,445139,99,99,431,1,0.23,0,0,4485,231
655,spices,Curry plant,14328,258974,18,18,642,10,1.56,0,0,1433,39
656,spices,Caraway,5965,150269,25,25,301,10,3.32,0,0,596,61
657,drink,Jungle Juice,15553,101237,7,7,346,2,0.58,0,0,7776,229
658,dish,Chicken Alfredo,13621,325811,24,24,300,7,2.33,0,0,1946,290
659,spices,"Licorice, liquorice",8902,249833,28,28,351,0,0.0,0,0,0,74
660,vegetable,Baby Corn,9566,53690,6,6,305,2,0.66,0,0,4783,215
661,vegetable,Spinach,1281,445748,348,348,56,1,1.79,0,0,1281,289
662,drink,Palm wine,4321,434202,100,100,182,5,2.75,0,0,864,291
663,spices,Borage,7333,414464,57,57,627,1,0.16,0,0,7333,35
664,spices,Alexanders,11064,126467,11,11,501,0,0.0,0,0,0,138
665,dish,Sonofabitch stew,9330,460236,49,49,279,2,0.72,0,0,4665,217
666,dish,Ice Cream,11836,141546,12,12,22,3,13.64,0,0,3945,160
667,fruit,Coffee,18629,166137,9,9,688,7,1.02,0,0,2661,261
668,dish,Potato salad,6172,353302,57,57,609,7,1.15,0,0,882,0
669,drink,RakÄ~+mn~,10117,455182,45,45,313,4,1.28,0,9,2529,211
670,vegetable,Ornamental,22,272439,12384,12384,261,9,3.45,0,0,2,260
671,drink,Royce,11990,109952,9,9,488,3,0.61,0,0,3997,34
672,drink,Flirtini,17875,396530,22,22,656,0,0.0,0,0,0,63
673,drink,Pale ale,6811,326207,48,48,661,3,0.45,0,0,2270,149
674,spices,Avens,15768,362544,23,23,335,4,1.19,0,0,3942,77
675,spices,Celery leaf,19605,412841,21,21,563,10,1.78,0,2,1960,288
676,drink,Tennessee whiskey,4519,244767,54,54,393,10,2.54,0,0,452,92
677,drink,Greyhound,15560,110821,7,7,36,3,8.33,0,0,5187,229
678,drink,Kir Royal,14094,165686,12,12,674,9,1.34,0,0,1566,47
679,dish,Sour cream,7262,206866,28,28,428,5,1.17,0,0,1452,41
680,vegetable,Horseradish,4162,88971,21,21,387,10,2.58,0,0,416,293
681,dish,Calamari,10065,101005,10,10,476,5,1.05,0,0,2013,199
682,dish,Moules Frites,2474,452329,183,183,292,9,3.08,0,0,275,193
683,drink,Gunfire,16476,403990,25,25,151,9,5.96,0,0,1831,300
684,vegetable,Snap Beans,15459,230816,15,15,511,4,0.78,0,0,3865,75
685,fruit,Desert fig,7271,283699,39,39,100,6,6.0,0,0,1212,63
686,dish,Maple Bacon Doughnut,18839,430551,23,23,252,0,0.0,0,9,0,180
687,drink,Singapore Sling,2472,187426,76,76,81,6,7.41,0,0,412,299
688,fruit,Limequat,2229,300542,135,135,348,9,2.59,0,0,248,191
689,vegetable,Escarole,4311,49535,11,11,134,7,5.22,0,3,616,41
690,dish,Clam chowder,9235,208638,23,23,303,2,0.66,0,0,4618,11
691,drink,Marsala,19476,214823,11,11,594,4,0.67,0,0,4869,43
692,vegetable,Calabash,5449,168450,31,31,395,3,0.76,0,0,1816,225
693,vegetable,Pak Choy,14954,442975,30,30,187,3,1.6,0,0,4985,177
694,vegetable,Swiss Chard,6435,449475,70,70,392,6,1.53,0,0,1072,40
695,fruit,Kaffir lime,7728,202936,26,26,189,6,3.17,0,0,1288,272
696,vegetable,Onion,16603,469140,28,28,586,7,1.19,0,3,2372,221
697,vegetable,Garlic,14302,206067,14,14,73,10,13.7,0,0,1430,7
698,spices,Celery seed,13868,176770,13,13,451,4,0.89,0,0,3467,172
699,drink,Pilsener,6614,36409,6,6,45,1,2.22,0,2,6614,277
700,spices,Juniper berry,1197,423472,354,354,39,10,25.64,0,4,120,277
701,vegetable,Parsley,16183,434763,27,27,181,6,3.31,0,8,2697,260
702,spices,Salad burnet,7903,256950,33,33,693,10,1.44,0,0,790,30
703,dish,Mission burrito,10129,143247,14,14,73,6,8.22,0,0,1688,129
704,dish,Vegemite on Toast,4149,413885,100,100,425,8,1.88,0,0,519,21
705,fruit,Limequat,7777,314353,40,40,540,2,0.37,0,0,3888,156
706,fruit,Edible honeysuckle,8946,73983,8,8,424,7,1.65,0,0,1278,136
707,vegetable,Spinach,11270,373961,33,33,427,7,1.64,0,0,1610,133
708,dish,Fried Catfish,13636,62640,5,5,462,6,1.3,0,0,2273,204
709,fruit,Bael,16573,368462,22,22,45,1,2.22,0,0,16573,267
